Time [seconds]	Counts
4.98534e+11	206
1.4956e+12	206
2.49267e+12	180
3.48974e+12	174
4.4868e+12	166
5.48387e+12	157
6.48094e+12	206
7.478e+12	188
8.47507e+12	176
9.47214e+12	191
1.04692e+13	175
1.14663e+13	199
1.24633e+13	191
1.34604e+13	160
1.44575e+13	186
1.54545e+13	174
1.64516e+13	199
1.74487e+13	177
1.84457e+13	166
1.94428e+13	172
2.04399e+13	169
2.14369e+13	203
2.2434e+13	191
2.34311e+13	200
2.44281e+13	179
2.54252e+13	174
2.64223e+13	195
2.74193e+13	171
2.84164e+13	195
2.94135e+13	166
3.04105e+13	186
3.14076e+13	182
3.24047e+13	178
3.34018e+13	193
3.43988e+13	189
3.53959e+13	165
3.6393e+13	172
3.739e+13	187
3.83871e+13	189
3.93842e+13	203
4.03812e+13	185
4.13783e+13	156
4.23754e+13	162
4.33724e+13	202
4.43695e+13	180
4.53666e+13	170
4.63636e+13	176
4.73607e+13	191
4.83578e+13	181
4.93548e+13	184
5.03519e+13	158
5.1349e+13	193
5.2346e+13	175
5.33431e+13	167
5.43402e+13	197
5.53372e+13	185
5.63343e+13	187
5.73314e+13	173
5.83284e+13	178
5.93255e+13	162
6.03226e+13	186
6.13196e+13	188
6.23167e+13	180
6.33138e+13	204
6.43108e+13	152
6.53079e+13	197
6.6305e+13	161
6.7302e+13	168
6.82991e+13	176
6.92962e+13	180
7.02932e+13	198
7.12903e+13	157
7.22874e+13	191
7.32844e+13	181
7.42815e+13	178
7.52786e+13	188
7.62756e+13	184
7.72727e+13	152
7.82698e+13	175
7.92668e+13	188
8.02639e+13	181
8.1261e+13	195
8.2258e+13	213
8.32551e+13	199
8.42522e+13	197
8.52492e+13	168
8.62463e+13	165
8.72434e+13	188
8.82404e+13	167
8.92375e+13	169
9.02346e+13	169
9.12316e+13	194
9.22287e+13	194
9.32258e+13	186
9.42228e+13	192
9.52199e+13	164
9.6217e+13	200
9.72141e+13	194
9.82111e+13	180
9.92082e+13	182
1.00205e+14	158
1.01202e+14	197
1.02199e+14	181
1.03196e+14	186
1.04194e+14	172
1.05191e+14	196
1.06188e+14	195
1.07185e+14	206
1.08182e+14	183
1.09179e+14	203
1.10176e+14	179
1.11173e+14	154
1.1217e+14	183
1.13167e+14	169
1.14164e+14	185
1.15161e+14	178
1.16158e+14	176
1.17155e+14	172
1.18152e+14	185
1.1915e+14	195
1.20147e+14	196
1.21144e+14	201
1.22141e+14	171
1.23138e+14	148
1.24135e+14	171
1.25132e+14	170
1.26129e+14	181
1.27126e+14	172
1.28123e+14	188
1.2912e+14	172
1.30117e+14	181
1.31114e+14	194
1.32111e+14	191
1.33108e+14	171
1.34106e+14	179
1.35103e+14	176
1.361e+14	181
1.37097e+14	170
1.38094e+14	192
1.39091e+14	185
1.40088e+14	195
1.41085e+14	183
1.42082e+14	166
1.43079e+14	186
1.44076e+14	171
1.45073e+14	175
1.4607e+14	177
1.47067e+14	178
1.48064e+14	217
1.49062e+14	190
1.50059e+14	195
1.51056e+14	187
1.52053e+14	175
1.5305e+14	167
1.54047e+14	195
1.55044e+14	197
1.56041e+14	179
1.57038e+14	158
1.58035e+14	172
1.59032e+14	178
1.60029e+14	205
1.61026e+14	170
1.62023e+14	176
